feature_name,SD21,SDXL,SD3,DALLE3,Midjourney
hog_0092,0.02003679652167012,0.02262288056843298,0.04297941420486162,0.01699713966242289,0.019383858674757226
hog_0093,0.0,0.022607063099807645,0.011789753405411219,0.0,0.01199141139040627
hog_0094,0.0,0.0,0.01679540878527863,0.0,0.008464599476369239
hog_0095,0.02532452898138815,0.0,0.01690529619616754,0.002523036079448593,0.0
hog_0096,0.0,0.0,0.014076998491826087,0.024047259811697197,0.0
hog_0097,0.0,0.0,0.005293298049560136,0.019696564163698138,0.0
hog_0098,0.0,0.006534832450094896,0.021312488014529007,0.0031552525633002926,0.0
hog_0099,0.018287319011674352,0.03057774734792762,0.016136177051854217,0.01088018155352577,1.0352830158488757e-05
hog_0100,0.0,0.0,0.021457195843118892,0.003377848429797048,0.007891738193161357
hog_0101,0.02520617553493043,0.01829204926916206,0.0124368695174355,0.0,0.0
hog_0102,0.011686120019318347,0.015923191561682204,0.045780073995762116,0.03313270277001168,0.016480985736584408
hog_0103,0.0,0.0,0.011973418888688192,0.008492424198915494,0.0
hog_0104,0.02157231801541659,0.0,0.037848349683144544,0.0016206288070379493,0.0
hog_0105,0.04005107067615432,0.0,0.0,0.015674090644631544,0.004137784688682533
hog_0106,0.0,0.0,0.02385191608542847,0.0,0.012069096291350778
hog_0107,0.009164191813304079,0.0,0.0026571956773757677,0.0,0.0038593411434324487
hog_0108,0.015467075311047296,0.005113267393419552,0.006664430035049351,0.0,0.0
hog_0109,0.008448698083760808,0.013435564080619855,0.0222734385917589,0.007375677602258435,0.0
hog_0110,0.0,0.03130785414353654,0.03736174717424112,0.013906660020175599,0.027574521417173647
hog_0111,0.005058514358755595,0.0063039138151583796,0.017499587087381085,0.025717802860225625,0.0
hog_0112,0.0,0.013417179230820642,0.03308955748696274,0.0,0.0
hog_0113,0.0,0.009099526033177652,0.00715629021899189,0.0,0.0034915463710945005
hog_0114,0.0031520698899425437,0.01749373873988369,0.01037446376636808,0.0,0.004889137240192909
hog_0115,0.0,0.004977383567278393,0.03803708372265824,0.0,0.0
hog_0116,0.014916555258682074,0.00045194001281712026,0.031258742337476386,0.014654097347196027,0.03171813289731329
hog_0117,0.01883516976159294,0.0019124257222524754,0.014458315217327655,0.0,0.02621872494648736
hog_0118,0.0,0.0,0.015494377097146517,0.0,0.0
hog_0119,0.020849986031923784,0.021385855515390073,0.0,0.0174982371155743,0.0
hog_0120,0.0,0.018043412644993317,0.033689290216922796,0.01686846655933305,0.022104008731207436
hog_0121,0.0,0.0,0.009087661565423844,0.002984701242539023,0.0
hog_0122,0.0,0.0,0.030042301596613585,0.008944397548217076,0.015567876995357333
hog_0123,0.0,0.0019879747547408844,0.014040970281054888,0.009943370563997078,0.0
hog_0124,0.0,0.0,0.04302534339269415,0.021826801966861265,0.025285755750650507
hog_0125,0.0,0.0,0.01675731839346639,0.0,0.012665573537782748
hog_0126,0.0,0.013771673358707215,0.016078023260708063,0.015189907706135264,0.01812348648688422
hog_0127,0.010784194928186386,0.0,0.00876811242456399,0.0,0.016691219086917508
hog_0128,0.00533392347345063,0.021339145292886164,0.011905229038170484,0.0,0.006780668328152384
hog_0129,0.0023548217220272782,0.0,0.024237926248756425,0.0030922358601770394,0.014854090077388138
hog_0130,0.0,0.0,0.018301337379525773,0.0,0.018649743594438384
hog_0131,0.0,0.0,0.03383655759282633,0.010994044602321784,0.0
hog_0132,0.008405945697258721,0.019902409395147203,0.013862198274046778,0.008591152355679421,0.010929427555036675
hog_0133,0.0,0.0,0.015684439725435206,0.0,0.0
hog_0134,0.01205505264941853,0.0,0.025347116216042798,0.0,0.0
hog_0135,0.0,0.0,0.0,0.0,0.0
hog_0136,0.0,0.003582339428287895,0.02560244835518599,0.01043610019786989,0.0005250747456990723
hog_0137,0.0014879120939572665,0.019812987918514713,0.01200285525070699,0.029545263112974673,0.019716315780606397
hog_0138,0.01697604403011388,0.01588417156388422,0.020617632605043346,0.012765724938209155,0.0
hog_0139,0.005607418399270259,0.0,0.036035333281484894,0.0,0.0
hog_0140,0.0,0.0,0.01253714886248991,0.0,0.0
hog_0141,0.0,0.013548801968508384,0.0011300851548130542,0.008614968428084513,0.0
hog_0142,0.00845540356315544,0.009535894437121328,0.023750263524790594,0.0,0.006418690276442263
hog_0143,0.01345367785830498,0.026635678659791218,0.024678101413825537,0.029016058550675128,0.0032335544796993076
hog_0144,0.0,0.0,0.02167112137708771,0.0,0.002123768773097945
hog_0145,0.0,0.0,0.009652185027248628,0.009603976429303662,0.004099195772868436
