feature_name,family,index,SD21,SDXL,SD3,DALLE3,Midjourney,mean_mi,std_mi,max_mi,stability_score,specificity_ratio
hog_0053,hog,53,0.0,0.0,0.016437163647725406,0.006620050540827593,0.0,0.0046114428377106,0.006444817960468013,0.016437163647725406,0.7155271336552368,3.5644288917298854
hog_0054,hog,54,0.004858933161413503,0.02652259068444618,0.009075993655252912,0.003278781705204903,0.0,0.0087472598412635,0.00935530164911241,0.02652259068444618,0.9350055438445278,3.032102410771955
hog_0055,hog,55,0.0,0.011032231132761527,0.010405865420392457,0.011504246206273328,0.006721830928329231,0.007932834737551308,0.004309837951735219,0.011504246206273328,1.8406336817660913,1.4502060280683986
hog_0056,hog,56,0.010118379723899507,0.011873341780338942,0.013255582303066449,0.026600757494354976,0.0078864375589216,0.013946899772116295,0.006576996971872426,0.026600757494354976,2.1205571039800257,1.9072880727406647
hog_0057,hog,57,0.0,0.0,0.008360657223937862,0.0,0.0033331089430932437,0.0023387532334062213,0.003276014988026527,0.008360657223937862,0.7139016543124647,3.5748336035125794
hog_0058,hog,58,0.0011775420827149219,0.033193762922050674,0.014011675352634478,0.02289092835582318,0.006693933386506812,0.015593568419946014,0.011424062441235406,0.033193762922050674,1.3649756498778438,2.128682794049189
hog_0059,hog,59,0.0,0.015554546979263062,0.0023135227869524044,0.0,0.0,0.003573613953243093,0.006057107164014535,0.015554546979263062,0.589986814908481,4.352608544226945
hog_0060,hog,60,0.0030073529851153413,0.0,0.011588208930992439,0.0,0.005203708217185188,0.003959854026658593,0.004289688050494915,0.011588208930992439,0.9231098058731627,2.926422521273665
hog_0061,hog,61,0.01752827564997328,0.0034230512083381903,0.022284776259663852,0.004916451928643317,0.0013465189382246834,0.009899814796968665,0.0083847710466761,0.022284776259663852,1.1806897959609004,2.2510293844545552
hog_0062,hog,62,0.007879049114033032,0.015050921505180836,0.041471598040885294,0.006286720676247803,0.007777661623078025,0.015693190191884997,0.013244900017381071,0.041471598040885294,1.1848476761956224,2.6426491294090906
hog_0063,hog,63,0.006554761313248614,0.004616793631956995,0.012438506638301705,0.01727821251819983,0.0,0.00817765482034143,0.006052479867387007,0.01727821251819983,1.3511244396336122,2.112856409928786
hog_0064,hog,64,0.0025379246489729557,0.015796558284306705,0.034512085851455376,0.01648293829499692,0.0070940402916168654,0.015284709474269765,0.010963186844190786,0.034512085851455376,1.394184765553286,2.2579482882291373
hog_0065,hog,65,0.0,0.008680027561172032,0.02454537456776662,0.0,0.03185958972234482,0.013016998370256693,0.013004926109397798,0.03185958972234482,1.0009282067294458,2.447537163990548
hog_0066,hog,66,0.02780021513288844,0.011823123028564142,0.03940369967566326,0.0,0.018851138051589666,0.0195756351777411,0.013450856407629408,0.03940369967566326,1.4553447846854493,2.0128949740324704
hog_0067,hog,67,0.020897202562996986,0.025227662859463873,0.016334269308631688,0.02050088696630703,0.017367165494495573,0.02006543743837903,0.003121932347364014,0.025227662859463873,6.427247223365984,1.2572694554837682
hog_0068,hog,68,0.0,0.0,0.018178888347972544,0.00779040971013667,0.0,0.005193859611621843,0.0071593516004406525,0.018178888347972544,0.725464982867608,3.5000724330751676
hog_0069,hog,69,0.01114273271975974,0.0032027965471554953,0.01378619311428464,0.01617768480901649,0.0015120286024485896,0.00916428715853299,0.00580621114712627,0.01617768480901649,1.5783589931464643,1.7652963906370878
hog_0070,hog,70,0.011111022264598702,0.012843834799807885,0.026866405278281436,0.014874594855640133,0.01020404022644561,0.015179979484954753,0.006057058096966759,0.026866405278281436,2.5061633446100187,1.7698576954634022
hog_0071,hog,71,0.0,0.0,0.0024796735467285114,0.0,0.01632366005864405,0.0037606667210745128,0.00635448798367783,0.01632366005864405,0.591812611641027,4.3406281196202015
hog_0072,hog,72,0.03880510048247032,0.025277884250007654,0.005138704597960286,0.006725637885261149,0.03524196246579292,0.022237857936298466,0.014041595607234638,0.03880510048247032,1.5837129180054124,1.745001647579005
hog_0073,hog,73,0.0,0.019674183543096024,0.016303207039379597,0.012770558985985891,0.016081214012626743,0.012965832716217651,0.006841002684783199,0.019674183543096024,1.8953114650498184,1.5173866928809658
hog_0074,hog,74,0.0,0.009223126172533958,0.02790907356477157,0.0357319742204627,0.0,0.014572834791553645,0.01468958036174309,0.0357319742204627,0.9920524235977553,2.45195751407374
hog_0075,hog,75,0.0,0.0014929246268196028,0.021776583300799457,0.0,0.011626331097922105,0.006979167805108233,0.008579930800854242,0.021776583300799457,0.8134292867471707,3.120225904961722
hog_0076,hog,76,0.029694797485059876,0.01823852594672437,0.012111314591841227,0.008143113291569026,0.010196367576966292,0.01567682377843216,0.007779086764838924,0.029694797485059876,2.0152522059579523,1.894184434970106
hog_0077,hog,77,0.03715516486336323,0.029769867764934732,0.0628073823237274,0.015771704209287973,0.0,0.029100823832262666,0.021099646879545658,0.0628073823237274,1.3792089800926715,2.1582681139022535
hog_0078,hog,78,0.018848803201565678,0.018210652034921893,0.05446664853317151,0.0,0.0,0.018305220753931817,0.019890276508150968,0.05446664853317151,0.9203099728714393,2.9754705660133567
hog_0079,hog,79,0.0,0.0,0.012577685343000411,0.0,0.0,0.002515537068600082,0.005031074137200164,0.012577685343000411,0.4999999006176639,4.999998012353674
